회계연도,부처명,회계명,분야명,분야코드,부문명,부문코드,프로그램명,단위사업명,세부사업명,예산구분,예산액
2025,보건복지부,사회복지 기금,사회복지,010,기초생활보장,011,기초생활보장 지원,생계급여,생계급여 지급,기금,3629550
2025,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,생계급여,수급자 관리,예산,4306052
2025,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,생계급여,급여 조정,예산,4300798
2025,보건복지부,사회복지 기금,사회복지,010,기초생활보장,011,기초생활보장 지원,의료급여,의료급여 1종,기금,2262104
2025,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,의료급여,의료급여 2종,예산,2336369
2025,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,의료급여,의료급여 사후관리,예산,2743367
2025,보건복지부,사회복지 기금,사회복지,010,기초생활보장,011,기초생활보장 지원,주거급여,임차급여,기금,2389186
2025,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,주거급여,수선유지급여,예산,2505374
2025,고용노동부,사회복지 기금,사회복지,010,기초생활보장,011,자활 지원,자활사업,자활근로,기금,3959820
2025,고용노동부,일반회계,사회복지,010,기초생활보장,011,자활 지원,자활사업,자활기업 지원,예산,3592109
2025,고용노동부,일반회계,사회복지,010,기초생활보장,011,자활 지원,자활사업,취업지원 서비스,예산,3868711
2025,고용노동부,사회복지 기금,사회복지,010,기초생활보장,011,자활 지원,희망키움통장,희망키움통장 Ⅰ,기금,2266004
2025,고용노동부,일반회계,사회복지,010,기초생활보장,011,자활 지원,희망키움통장,희망키움통장 Ⅱ,예산,2628556
2025,여성가족부,사회복지 기금,사회복지,010,취약계층 지원,012,노인복지 지원,기초연금,기초연금 지급,기금,5815011
2025,여성가족부,일반회계,사회복지,010,취약계층 지원,012,노인복지 지원,기초연금,기초연금 관리운영,예산,3702189
2025,여성가족부,사회복지 기금,사회복지,010,취약계층 지원,012,노인복지 지원,노인장기요양,장기요양급여,기금,2705729
