회계연도,부처명,회계명,분야명,분야코드,부문명,부문코드,프로그램명,단위사업명,세부사업명,예산구분,예산액
2026,보건복지부,사회복지 기금,사회복지,010,기초생활보장,011,기초생활보장 지원,생계급여,생계급여 지급,기금,4083147
2026,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,생계급여,수급자 관리,예산,5899193
2026,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,생계급여,급여 조정,예산,3204460
2026,보건복지부,사회복지 기금,사회복지,010,기초생활보장,011,기초생활보장 지원,의료급여,의료급여 1종,기금,2238580
2026,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,의료급여,의료급여 2종,예산,3081151
2026,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,의료급여,의료급여 사후관리,예산,2592349
2026,보건복지부,사회복지 기금,사회복지,010,기초생활보장,011,기초생활보장 지원,주거급여,임차급여,기금,1575454
2026,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,주거급여,수선유지급여,예산,3699266
2026,고용노동부,사회복지 기금,사회복지,010,기초생활보장,011,자활 지원,자활사업,자활근로,기금,5466819
2026,고용노동부,일반회계,사회복지,010,기초생활보장,011,자활 지원,자활사업,자활기업 지원,예산,2442682
2026,고용노동부,일반회계,사회복지,010,기초생활보장,011,자활 지원,자활사업,취업지원 서비스,예산,4398179
2026,고용노동부,사회복지 기금,사회복지,010,기초생활보장,011,자활 지원,희망키움통장,희망키움통장 Ⅰ,기금,3484128
2026,고용노동부,일반회계,사회복지,010,기초생활보장,011,자활 지원,희망키움통장,희망키움통장 Ⅱ,예산,1790592
2026,여성가족부,사회복지 기금,사회복지,010,취약계층 지원,012,노인복지 지원,기초연금,기초연금 지급,기금,4210193
2026,여성가족부,일반회계,사회복지,010,취약계층 지원,012,노인복지 지원,기초연금,기초연금 관리운영,예산,6046207
2026,여성가족부,사회복지 기금,사회복지,010,취약계층 지원,012,노인복지 지원,노인장기요양,장기요양급여,기금,1888709
2026,여성가족부,일반회계,사회복지,010,취약계층 지원,012,노인복지 지원,노인장기요양,장기요양기관 지원,예산,2506891
2026,국토교통부,사회복지 기금,사회복지,010,취약계층 지원,012,장애인복지 지원,장애인연금,장애인연금 기초급여,기금,1812629
2026,국토교통부,일반회계,사회복지,010,취약계층 지원,012,장애인복지 지원,장애인연금,장애인연금 부가급여,예산,3462091
2026,국토교통부,사회복지 기금,사회복지,010,취약계층 지원,012,장애인복지 지원,장애인활동지원,활동지원급여,기금,1960114
2026,국토교통부,일반회계,사회복지,010,취약계층 지원,012,장애인복지 지원,장애인활동지원,긴급활동지원,예산,1556366
2026,보건복지부,사회복지 기금,사회복지,010,취약계층 지원,012,아동복지 지원,아동수당,아동수당 지급,기금,1541093
2026,보건복지부,일반회계,사회복지,010,취약계층 지원,012,아동복지 지원,아동수당,아동수당 운영,예산,2561467
2026,보건복지부,사회복지 기금,사회복지,010,취약계층 지원,012,아동복지 지원,아동보호 서비스,아동학대 예방,기금,772566
2026,보건복지부,일반회계,사회복지,010,취약계층 지원,012,아동복지 지원,아동보호 서비스,드림스타트,예산,380390
2026,보건복지부,일반회계,사회복지,010,취약계층 지원,012,아동복지 지원,아동보호 서비스,지역아동센터,예산,605284
2026,고용노동부,사회복지 기금,사회복지,010,보육·가족 및 여성,013,보육지원,어린이집 운영 지원,기본보육료,기금,4794469
